property_description,address,price,size_m2,number_rooms,number_bathrooms,number_parking_spaces
"Apartamento com 2 Quartos à Venda, 44m2","Rua Eviner Gonzaga - Loteamento Jardim das Constelacoes, Salto - SP",BRL 1.800 /month,44,2,1,1
"Apartamento com 2 Quartos à Venda, 65m2","Rua Doutor Henrique Viscardi - Vila Henrique, Salto - SP",BRL 290.000,65,2,1,1
"Apartamento com 2 Quartos à Venda, 46m2","Rua São Mateus - Jardim Nova Era, Salto - SP","A partir de
BRL 309.000",46,2,1,1
"Apartamento com 2 Quartos à Venda, 62m2","Jardim Nair Maria, Salto - SP",BRL 206.000,62,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 114m2,"Rua São Mateus, 51 - Jardim Nova Era, Salto - SP",BRL 371.000,114,2,3,2
Apartamento com 3 Quartos para Venda/Aluguel 63m2,"Rua Eviner Gonzaga, 22 - Loteamento Jardim das Constelacoes, Salto - SP",BRL 170.000,63,3,1,1
"Apartamento com 2 Quartos à Venda, 46m2","Avenida Remigio Dalla Vecchia, 431 - Jardim Nair Maria, Salto - SP",BRL 420.000,46,2,1,1
"Apartamento com 3 Quartos à Venda, 63m2","Salto Ville, Salto - SP",BRL 390.000,63,3,2,--
"Apartamento com 2 Quartos à Venda, 42m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 190.000,42,2,1,1
"Apartamento com 2 Quartos à Venda, 74m2","Vila Teixeira, Salto - SP",BRL 209.000,74,2,1,1
"Apartamento com 2 Quartos à Venda, 63m2","Parque Bela Vista, Salto - SP",BRL 186.000,63,2,2,1
"Apartamento com 2 Quartos à Venda, 166m2","Parque Bela Vista, Salto - SP",BRL 295.000,166,2,4,2
"Apartamento com 2 Quartos à Venda, 56m2","Jardim Nair Maria, Salto - SP",BRL 3.200 /month,56,2,1,1
"Apartamento com 3 Quartos à Venda, 120m2","Avenida Remigio Dalla Vecchia, 0 - Jardim Nair Maria, Salto - SP",BRL 480.000,120,3,2,2
Residencial Sabine,"Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 2.300 /month,40-43,2,1,1
"Apartamento com 3 Quartos à Venda, 64m2","Jardim Nair Maria, Salto - SP",BRL 320.000,64,3,1,1
"Apartamento com 3 Quartos à Venda, 94m2","Jardim Nair Maria, Salto - SP",BRL 220.000,94,3,2,1
"Apartamento com 2 Quartos à Venda, 62m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 185.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 65m2","Rua Macapá, 80 - Jardim Panorama, Salto - SP",BRL 367.000,65,2,2,1
"Apartamento com 2 Quartos à Venda, 53m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 367.000,53,2,1,1
"Apartamento com 2 Quartos à Venda, 48m2","Rua Turmalina, 51 - Jardim Sontag, Salto - SP",BRL 183.490,48,2,1,1
Residencial Sollare,"Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 330.000,40,2,44928,1
"Apartamento com 4 Quartos à Venda, 158m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 550.000,158,4,4,2
"Apartamento com 2 Quartos à Venda, 47m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 340.000,47,2,1,1
"Apartamento com 2 Quartos à Venda, 53m2","Avenida Eugênio Coltro, 1925 - Salto Ville, Salto - SP",BRL 270.000,53,2,1,1
Apartamento com 2 Quartos à Venda/Aluguel 76m2,"Rua das Nações Unidas, 2111 - Olaria, Salto - SP",BRL 275.000,76,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 62m2,"Rua Itapiru, 795 - Parque Bela Vista, Salto - SP",BRL 190.000,62,2,2,1
"Apartamento com 2 Quartos à Venda, 61m2","Rua Antônio Gianotto, 243 - Guaraú, Salto - SP",BRL 168.490,61,2,1,1
Torres de Itu,"Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 700.000,73-86,44960,2,44928
"Apartamento com 2 Quartos à Venda, 51m2","Rua Padre José de Anchieta, 86 - Vila Romão, Salto - SP",BRL 185.000,51,2,1,1
"Apartamento com 2 Quartos à Venda, 74m2","Jardim Sontag, Salto - SP",BRL 277.000,74,2,1,1
"Apartamento com 2 Quartos à Venda, 48m2","Salto Ville, Salto - SP",BRL 1.500 /month,48,2,1,1
"Apartamento com 3 Quartos à Venda, 84m2","Rua Francisco Brantes Lima, 501 - Jardim Rosinha, Itu - SP",BRL 260.000,84,3,2,2
"Apartamento com 3 Quartos à Venda, 75m2","Rua Melvin Jones, 500 - Vila Roma, Salto - SP",BRL 1.800 /month,75,3,2,2
"Apartamento com 2 Quartos à Venda, 45m2","Jardim Nair Maria, Salto - SP",BRL 290.000,45,2,1,--
"Apartamento com 3 Quartos à Venda, 85m2","Rua Eviner Gonzaga - Loteamento Jardim das Constelacoes, Salto - SP","A partir de
BRL 309.000",85,3,1,2
"Apartamento com 2 Quartos à Venda, 44m2","Rua Doutor Henrique Viscardi - Vila Henrique, Salto - SP",BRL 206.000,44,2,1,1
"Apartamento com 2 Quartos à Venda, 65m2","Rua São Mateus - Jardim Nova Era, Salto - SP",BRL 371.000,65,2,1,1
"Apartamento com 2 Quartos à Venda, 46m2","Jardim Nair Maria, Salto - SP",BRL 170.000,46,2,1,1
"Apartamento com 2 Quartos à Venda, 62m2","Rua São Mateus, 51 - Jardim Nova Era, Salto - SP",BRL 420.000,62,2,1,1
Apartamento com 2 Quartos para Venda/Aluguel 114m2,"Rua Eviner Gonzaga, 22 - Loteamento Jardim das Constelacoes, Salto - SP",BRL 390.000,114,2,3,2
Apartamento com 3 Quartos para Venda/Aluguel 63m2,"Avenida Remigio Dalla Vecchia, 431 - Jardim Nair Maria, Salto - SP",BRL 190.000,63,3,1,1
"Apartamento com 2 Quartos à Venda, 46m2","Salto Ville, Salto - SP",BRL 209.000,46,2,1,1
"Apartamento com 3 Quartos à Venda, 63m2","Rua São Mateus, 79 - Jardim Nova Era, Salto - SP",BRL 186.000,63,3,2,--
"Apartamento com 2 Quartos à Venda, 42m2","Vila Teixeira, Salto - SP",BRL 295.000,42,2,1,1
"Apartamento com 2 Quartos à Venda, 74m2","Parque Bela Vista, Salto - SP",BRL 3.200 /month,74,2,1,1
"Apartamento com 2 Quartos à Venda, 63m2","Parque Bela Vista, Salto - SP",BRL 480.000,63,2,2,1
"Apartamento com 2 Quartos à Venda, 166m2","Jardim Nair Maria, Salto - SP",BRL 2.300 /month,166,2,4,2
"Apartamento com 2 Quartos à Venda, 56m2","Avenida Remigio Dalla Vecchia, 0 - Jardim Nair Maria, Salto - SP",BRL 320.000,56,2,1,1
"Apartamento com 3 Quartos à Venda, 120m2","Rua Presidente João Café Filho, 100 - Parque Bela Vista, Salto - SP",BRL 220.000,120,3,2,2
Residencial Sabine,"Jardim Nair Maria, Salto - SP",BRL 185.000,40-43,2,1,1
"Apartamento com 3 Quartos à Venda, 64m2","Jardim Nair Maria, Salto - SP",BRL 367.000,64,3,1,1
Casa com 3 Quartos à Venda/Aluguel 290m2,"Rua Antônio João Dias, 22 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",BRL 6.000 /month,290,3,4,2
"Casa com 2 Quartos para Aluguel, 76m2","Loteamento Santa Edwiges, Salto - SP",BRL 1.100.000,76,2,1,--
"Casa com 2 Quartos para Aluguel, 168m2","Rua Itapiru, 948 - Parque Bela Vista, Salto - SP",BRL 1.100 /month,168,2,2,4
"Casa com 2 Quartos para Aluguel, 100m2","Jardim Arco Iris, Salto - SP",BRL 1.370 /month,100,2,1,1
Casa com 2 Quartos para Venda/Aluguel 110m2,"Guaraú, Salto - SP",BRL 1.550 /month,110,2,2,2
"Casa com 2 Quartos para Aluguel, 80m2","Centro, Salto - SP",BRL 330.000,80,2,1,1
Casa com 4 Quartos à Venda/Aluguel 490m2,"Avenida José Maria Marques de Oliveira, 22 - Condominio Fec Moradas Sao Luiz, Salto - SP",BRL 2.300 /month,490,4,6,4
Casa com 3 Quartos para Venda/Aluguel 98m2,"Jardim Santa Lúcia, Salto - SP",BRL 12.800 /month,98,3,2,1
Casa com 2 Quartos para Venda/Aluguel 144m2,"Jardim Maria José, Salto - SP",BRL 1.900.000,144,2,2,1
"Casa com 2 Quartos para Aluguel, 65m2","Rua Goiânia, 1 - Jardim Panorama, Salto - SP",BRL 1.200 /month,65,2,1,--
"Casa com 2 Quartos para Aluguel, 125m2","Jardim Maria José, Salto - SP",BRL 250.000,125,2,1,2
"Casa com 2 Quartos para Aluguel, 85m2","Rua Roberto Simonsen - Parque Bela Vista, Salto - SP",BRL 1.500 /month,85,2,1,--
"Casa com 3 Quartos para Aluguel, 90m2","Jardim Europa, Salto - SP",BRL 300.000,90,3,1,1
"Casa com 2 Quartos para Aluguel, 46m2","Salto Ville, Salto - SP",BRL 2.500 /month,46,2,1,4
"Casa com 3 Quartos para Aluguel, 100m2","CONDOMINIO ZULEIKA JABOUR, Salto - SP",BRL 1.300 /month,100,3,1,1
"Casa com 2 Quartos para Aluguel, 100m2","Rua Aquarela do Brasil, 22 - Condomínio Monte Belo, Salto - SP",BRL 2.300 /month,100,2,1,--
"Casa com 3 Quartos para Aluguel, 1050m2","Rua Oceania, 63 - Jardim Celani, Salto - SP",BRL 1.300 /month,1050,3,2,2
"Casa com 6 Quartos para Aluguel, 900m2","Centro, Salto - SP",BRL 1.450 /month,900,6,10,5
"Casa com 3 Quartos para Aluguel, 249m2","Vila Teixeira, Salto - SP",BRL 1.300 /month,249,3,2,4
"Casa com 3 Quartos para Aluguel, 200m2","Residencial São Gabriel, Salto - SP",BRL 6.000 /month,200,3,1,4
Casa com 2 Quartos à Venda/Aluguel 93m2,"Jardim das Nações, Salto - SP",BRL 9.500 /month,93,2,9,--
Casa com 3 Quartos para Venda/Aluguel 320m2,"Centro, Salto - SP",BRL 3.500 /month,320,3,5,2
Casa com 4 Quartos para Venda/Aluguel 240m2,"Centro, Salto - SP",BRL 5.800 /month,240,4,2,4
"Casa com 2 Quartos para Aluguel, 115m2","Parque Bela Vista, Salto - SP",BRL 2.500 /month,115,2,1,1
"Casa com 2 Quartos para Aluguel, 50m2","Jardim São João, Salto - SP",BRL 420.000,50,2,1,2
"Casa com 2 Quartos para Aluguel, 60m2","Centro, Salto - SP",BRL 3.500 /month,60,2,1,1
Casa com 2 Quartos para Venda/Aluguel 187m2,"Jardim Bom Retiro, Salto - SP",BRL 725.000,187,2,3,6
"Casa com 2 Quartos para Aluguel, 150m2","Jardim D'icarai, Salto - SP",BRL 3.000 /month,150,2,1,--
Casa com 3 Quartos para Venda/Aluguel 140m2,"Jardim das Nações, Salto - SP",BRL 700.000,140,3,2,1
"Casa com 4 Quartos para Aluguel, 300m2","Terras De Mont Serrat, Salto - SP",BRL 1.550 /month,300,4,3,4
"Casa com 4 Quartos para Aluguel, 337m2","Residencial Haras Paineiras, Salto - SP",BRL 1.500 /month,337,4,2,--
"Casa com 3 Quartos para Aluguel, 116m2","Jardim Imperador , Salto - SP",BRL 1.250 /month,116,3,2,2
"Casa com 3 Quartos para Aluguel, 237m2","Rua Antônio João Dias, 22 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",BRL 2.500 /month,237,3,5,2
Casa com 3 Quartos para Venda/Aluguel 200m2,"Loteamento Santa Edwiges, Salto - SP",BRL 580.000,200,3,2,--
"Casa com 2 Quartos para Aluguel, 150m2","Rua Itapiru, 948 - Parque Bela Vista, Salto - SP",BRL 950 /month,150,2,1,2
"Casa com 3 Quartos para Aluguel, 220m2","Jardim Arco Iris, Salto - SP",BRL 2.500 /month,220,3,1,3
Casa com 3 Quartos à Venda/Aluguel 290m2,"Guaraú, Salto - SP",BRL 625.000,290,3,4,2
"Casa com 2 Quartos para Aluguel, 76m2","Centro, Salto - SP",BRL 2.800 /month,76,2,1,--
"Casa com 2 Quartos para Aluguel, 168m2","Avenida José Maria Marques de Oliveira, 22 - Condominio Fec Moradas Sao Luiz, Salto - SP",BRL 4.806 /month,168,2,2,4
"Casa com 2 Quartos para Aluguel, 100m2","Jardim Santa Lúcia, Salto - SP",BRL 1.900 /month,100,2,1,1
Casa com 2 Quartos para Venda/Aluguel 110m2,"Jardim Maria José, Salto - SP",BRL 5.500 /month,110,2,2,2
"Casa com 2 Quartos para Aluguel, 80m2","Rua Goiânia, 1 - Jardim Panorama, Salto - SP",BRL 5.000 /month,80,2,1,1
Casa com 4 Quartos à Venda/Aluguel 490m2,"Jardim Maria José, Salto - SP",BRL 950.000,490,4,6,4
Casa com 3 Quartos para Venda/Aluguel 98m2,"Rua Roberto Simonsen - Parque Bela Vista, Salto - SP",BRL 1.500 /month,98,3,2,1
Casa com 2 Quartos para Venda/Aluguel 144m2,"Jardim Europa, Salto - SP",BRL 6.000 /month,144,2,2,1
"Casa com 2 Quartos para Aluguel, 65m2","Salto Ville, Salto - SP",BRL 6.000 /month,65,2,1,--
"Casa com 2 Quartos para Aluguel, 125m2","CONDOMINIO ZULEIKA JABOUR, Salto - SP",BRL 1.100.000,125,2,1,2
"Casa com 2 Quartos para Aluguel, 85m2","Rua Aquarela do Brasil, 22 - Condomínio Monte Belo, Salto - SP",BRL 1.100 /month,85,2,1,--
"Casa com 3 Quartos para Aluguel, 90m2","Rua Oceania, 63 - Jardim Celani, Salto - SP",BRL 1.370 /month,90,3,1,1
"Casa com 2 Quartos para Aluguel, 46m2","Centro, Salto - SP",BRL 1.550 /month,46,2,1,4
"Casa com 3 Quartos para Aluguel, 100m2","Vila Teixeira, Salto - SP",BRL 330.000,100,3,1,1
"Casa com 2 Quartos para Aluguel, 100m2","Residencial São Gabriel, Salto - SP",BRL 2.300 /month,100,2,1,--
"Casa com 3 Quartos para Aluguel, 1050m2","Jardim das Nações, Salto - SP",BRL 12.800 /month,1050,3,2,2
"Casa com 6 Quartos para Aluguel, 900m2","Centro, Salto - SP",BRL 1.900.000,900,6,10,5
"Casa com 3 Quartos para Aluguel, 249m2","Centro, Salto - SP",BRL 1.200 /month,249,3,2,4
"Casa com 3 Quartos para Aluguel, 200m2","Parque Bela Vista, Salto - SP",BRL 250.000,200,3,1,4
Casa com 2 Quartos à Venda/Aluguel 93m2,"Jardim São João, Salto - SP",BRL 1.500 /month,93,2,9,--
Casa com 3 Quartos para Venda/Aluguel 320m2,"Centro, Salto - SP",BRL 300.000,320,3,5,2
Casa com 4 Quartos para Venda/Aluguel 240m2,"Jardim Bom Retiro, Salto - SP",BRL 2.500 /month,240,4,2,4
"Casa com 2 Quartos para Aluguel, 115m2","Jardim D'icarai, Salto - SP",BRL 1.300 /month,115,2,1,1
"Casa com 2 Quartos para Aluguel, 50m2","Jardim das Nações, Salto - SP",BRL 2.300 /month,50,2,1,2
"Casa com 2 Quartos para Aluguel, 60m2","Terras De Mont Serrat, Salto - SP",BRL 1.300 /month,60,2,1,1
Casa com 2 Quartos para Venda/Aluguel 187m2,"Residencial Haras Paineiras, Salto - SP",BRL 1.450 /month,187,2,3,6
"Casa com 2 Quartos para Aluguel, 150m2","Jardim Imperador , Salto - SP",BRL 1.300 /month,150,2,1,--
Casa com 3 Quartos para Venda/Aluguel 140m2,"Rua Antônio João Dias, 22 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",BRL 6.000 /month,140,3,2,1
"Casa com 4 Quartos para Aluguel, 300m2","Loteamento Santa Edwiges, Salto - SP",BRL 9.500 /month,300,4,3,4
"Casa com 4 Quartos para Aluguel, 337m2","Rua Itapiru, 948 - Parque Bela Vista, Salto - SP",BRL 3.500 /month,337,4,2,--
"Casa com 3 Quartos para Aluguel, 116m2","Jardim Arco Iris, Salto - SP",BRL 5.800 /month,116,3,2,2
"Casa com 3 Quartos para Aluguel, 237m2","Guaraú, Salto - SP",BRL 2.500 /month,237,3,5,2
Casa com 3 Quartos para Venda/Aluguel 200m2,"Centro, Salto - SP",BRL 420.000,200,3,2,--
"Casa com 2 Quartos para Aluguel, 150m2","Avenida José Maria Marques de Oliveira, 22 - Condominio Fec Moradas Sao Luiz, Salto - SP",BRL 3.500 /month,150,2,1,2
"Casa com 3 Quartos para Aluguel, 220m2","Jardim Santa Lúcia, Salto - SP",BRL 725.000,220,3,1,3
Casa com 3 Quartos à Venda/Aluguel 290m2,"Jardim Maria José, Salto - SP",BRL 3.000 /month,290,3,4,2
"Casa com 2 Quartos para Aluguel, 76m2","Rua Goiânia, 1 - Jardim Panorama, Salto - SP",BRL 700.000,76,2,1,--
"Casa com 2 Quartos para Aluguel, 168m2","Jardim Maria José, Salto - SP",BRL 1.550 /month,168,2,2,4
"Casa com 2 Quartos para Aluguel, 100m2","Rua Roberto Simonsen - Parque Bela Vista, Salto - SP",BRL 1.500 /month,100,2,1,1
Casa com 2 Quartos para Venda/Aluguel 110m2,"Jardim Europa, Salto - SP",BRL 1.250 /month,110,2,2,2
"Casa com 2 Quartos para Aluguel, 80m2","Salto Ville, Salto - SP",BRL 2.500 /month,80,2,1,1
Casa com 4 Quartos à Venda/Aluguel 490m2,"CONDOMINIO ZULEIKA JABOUR, Salto - SP",BRL 580.000,490,4,6,4
Casa com 3 Quartos para Venda/Aluguel 98m2,"Rua Aquarela do Brasil, 22 - Condomínio Monte Belo, Salto - SP",BRL 950 /month,98,3,2,1
Casa com 2 Quartos para Venda/Aluguel 144m2,"Rua Oceania, 63 - Jardim Celani, Salto - SP",BRL 2.500 /month,144,2,2,1
"Casa com 2 Quartos para Aluguel, 65m2","Centro, Salto - SP",BRL 625.000,65,2,1,--
"Casa com 2 Quartos para Aluguel, 125m2","Vila Teixeira, Salto - SP",BRL 2.800 /month,125,2,1,2
"Casa com 2 Quartos para Aluguel, 85m2","Residencial São Gabriel, Salto - SP",BRL 4.806 /month,85,2,1,--
"Casa com 3 Quartos para Aluguel, 90m2","Jardim das Nações, Salto - SP",BRL 1.900 /month,90,3,1,1
"Casa com 2 Quartos para Aluguel, 46m2","Centro, Salto - SP",BRL 5.500 /month,46,2,1,4
"Casa com 3 Quartos para Aluguel, 100m2","Centro, Salto - SP",BRL 5.000 /month,100,3,1,1
"Casa com 2 Quartos para Aluguel, 100m2","Parque Bela Vista, Salto - SP",BRL 950.000,100,2,1,--
"Casa com 3 Quartos para Aluguel, 1050m2","Jardim São João, Salto - SP",BRL 1.500 /month,1050,3,2,2
"Casa com 6 Quartos para Aluguel, 900m2","Centro, Salto - SP",BRL 6.000 /month,900,6,10,5
"Casa com 3 Quartos para Aluguel, 249m2","Jardim Bom Retiro, Salto - SP",BRL 6.000 /month,249,3,2,4
"Casa com 3 Quartos para Aluguel, 200m2","Jardim D'icarai, Salto - SP",BRL 1.100.000,200,3,1,4
Casa com 2 Quartos à Venda/Aluguel 93m2,"Jardim das Nações, Salto - SP",BRL 1.100 /month,93,2,9,--
Casa com 3 Quartos para Venda/Aluguel 320m2,"Terras De Mont Serrat, Salto - SP",BRL 1.370 /month,320,3,5,2
Casa com 4 Quartos para Venda/Aluguel 240m2,"Residencial Haras Paineiras, Salto - SP",BRL 1.550 /month,240,4,2,4
"Casa com 2 Quartos para Aluguel, 115m2","Jardim Imperador , Salto - SP",BRL 330.000,115,2,1,1
"Casa com 4 Quartos à Venda, 360m2","Rua Fortaleza, 342 - Jardim Panorama, Salto - SP",BRL 760.000,360,4,5,2
"Casa com 3 Quartos à Venda, 219m2","Rua das Palmas - Residencial Porto Seguro, Salto - SP",BRL 475.000,219,3,2,2
"Casa com 3 Quartos à Venda, 180m2","Rua Escócia - Jardim Elizabeth, Salto - SP",BRL 700.000,180,3,2,2
"Casa com 4 Quartos à Venda, 300m2","Rua dos Curumbatás - Urb Salto de São José, Salto - SP",BRL 1.562.000,300,4,3,4
"Casa com 3 Quartos à Venda, 308m2","Rua dos Pássaros, 0 - Residencial Lagos D Icaraí , Salto - SP",BRL 913.000,308,3,4,2
"Casa com 3 Quartos à Venda, 164m2","Rua Ramon Garcia, 137 - Village Moutonnee, Salto - SP",BRL 550.000,164,3,3,4
"Casa com 2 Quartos à Venda, 100m2","Rua Juquei, 11 - Jardim D'icarai, Salto - SP",BRL 435.000,100,2,2,2
"Casa com 3 Quartos à Venda, 199m2","Rua dos Pássaros, 0 - Residencial Lagos D Icaraí , Salto - SP",BRL 950.000,199,3,3,2
"Casa com 3 Quartos à Venda, 124m2","Rua Antônio João Dias, 22 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",BRL 6.000 /month,124,3,3,4
Casa com 3 Quartos à Venda/Aluguel 290m2,"CONDOMINIO ZULEIKA JABOUR, Salto - SP",BRL 1.100.000,290,3,4,2
"Casa com 3 Quartos à Venda, 110m2","Rua Guatemala, 0 - Jardim das Nações, Salto - SP",BRL 210.000,110,3,2,2
"Casa com 5 Quartos à Venda, 317m2","Residencial Santo Stefano, Salto - SP",BRL 1.650.000,317,5,4,4
"Casa com 3 Quartos à Venda, 163m2","Rua Orlando Andrietta - Village Moutonnee, Salto - SP",BRL 645.000,163,3,3,2
"Casa com 2 Quartos à Venda, 132m2","Rua Fernão Álvares de Andrade, 30 - Jardim Santa Marta, Salto - SP",BRL 380.000,132,2,3,2
"Casa com 3 Quartos à Venda, 105m2","Rua Antonio Hyppolito - Loteamento Jardim das Constelacoes, Salto - SP",BRL 730.000,105,3,2,4
"Casa com Quarto à Venda, 35m2","Jardim D'icarai, Salto - SP",BRL 165.000,35,1,1,2
"Casa com 2 Quartos à Venda, 50m2","Rua dos Oceanos, 153 - Residencial São Bento, Salto - SP",BRL 180.000,50,2,1,2
"Casa com 3 Quartos à Venda, 198m2","Avenida Brasília, 1 - Buru, Salto - SP",BRL 480.000,198,3,3,2
"Casa com 3 Quartos à Venda, 113m2","Jardim Nair Maria, Salto - SP",BRL 645.000,113,3,3,2
"Casa com 3 Quartos à Venda, 124m2","Rua Anastácia Rigolin, 1 - Jardim Nair Maria, Salto - SP",BRL 950.000,124,3,2,2
"Casa com 3 Quartos à Venda, 206m2","Jardim Arco Iris, Salto - SP",BRL 320.000,206,3,3,2
"Casa com 2 Quartos à Venda, 180m2","Rua João Batista Dalla Vecchia, 230 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",BRL 1.350.000,180,2,2,18
"Casa com 2 Quartos à Venda, 100m2","Jardim das Nações, Salto - SP",BRL 1.150.000,100,2,1,2
"Casa com 4 Quartos à Venda, 363m2","Estrada Municipal - Residencial Primavera, Salto - SP",BRL 270.000,363,4,4,4
"Casa com 3 Quartos à Venda, 395m2","Rua Acácio Rodrigues de Moraes - Jardim Saltense, Salto - SP",BRL 1.499.999,395,3,4,3
"Casa com 2 Quartos à Venda, 100m2","Rua Santa Ágeda - Residencial São Gabriel, Salto - SP",BRL 300.000,100,2,1,1
"Casa com 2 Quartos à Venda, 80m2","Rua Estado de Minas Gerais, 811 - Village Moutonnee, Salto - SP",BRL 320.000,80,2,1,2
"Casa com 4 Quartos à Venda, 320m2","Rua Fortaleza, 10 - Jardim Panorama, Salto - SP",BRL 650.000,320,4,6,4
"Casa com 3 Quartos à Venda, 125m2","Itapecerica, Salto - SP",BRL 415.000,125,3,2,2
"Casa com 2 Quartos à Venda, 85m2","Rua Estado de Minas Gerais, 22 - Loteamento Terras de Sao Pedro e Sao Paulo, Salto - SP",BRL 1.590.000,85,2,2,2
"Casa com 3 Quartos à Venda, 105m2","Rua África, 275 - Jardim Elizabeth, Salto - SP",BRL 750.000,105,3,2,2
"Casa com 2 Quartos à Venda, 132m2","Rua Fortaleza, 342 - Jardim Panorama, Salto - SP",BRL 1.060.000,132,2,2,2
"Casa com 4 Quartos à Venda, 380m2","Rua das Palmas - Residencial Porto Seguro, Salto - SP",BRL 760.000,380,4,6,2
"Casa com 3 Quartos à Venda, 178m2","Rua Escócia - Jardim Elizabeth, Salto - SP",BRL 475.000,178,3,2,2
"Casa com 3 Quartos à Venda, 130m2","Rua dos Curumbatás - Urb Salto de São José, Salto - SP",BRL 700.000,130,3,1,2
"Casa com 3 Quartos à Venda, 183m2","Rua dos Pássaros, 0 - Residencial Lagos D Icaraí , Salto - SP",BRL 1.562.000,183,3,2,4
"Casa com 4 Quartos à Venda, 360m2","Rua Ramon Garcia, 137 - Village Moutonnee, Salto - SP",BRL 913.000,360,4,5,2
"Casa com 3 Quartos à Venda, 219m2","Rua Juquei, 11 - Jardim D'icarai, Salto - SP",BRL 550.000,219,3,2,2
"Casa com 3 Quartos à Venda, 180m2","Rua dos Pássaros, 0 - Residencial Lagos D Icaraí , Salto - SP",BRL 435.000,180,3,2,2
"Casa com 4 Quartos à Venda, 300m2","Rua Antônio João Dias, 22 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",BRL 950.000,300,4,3,4
"Casa com 3 Quartos à Venda, 308m2","CONDOMINIO ZULEIKA JABOUR, Salto - SP",BRL 6.000 /month,308,3,4,2
"Casa com 3 Quartos à Venda, 164m2","Rua Guatemala, 0 - Jardim das Nações, Salto - SP",BRL 1.100.000,164,3,3,4
"Casa com 2 Quartos à Venda, 100m2","Residencial Santo Stefano, Salto - SP",BRL 210.000,100,2,2,2
"Casa com 3 Quartos à Venda, 199m2","Rua Orlando Andrietta - Village Moutonnee, Salto - SP",BRL 1.650.000,199,3,3,2
"Casa com 3 Quartos à Venda, 124m2","Rua Fernão Álvares de Andrade, 30 - Jardim Santa Marta, Salto - SP",BRL 645.000,124,3,3,4
Casa com 3 Quartos à Venda/Aluguel 290m2,"Rua Antonio Hyppolito - Loteamento Jardim das Constelacoes, Salto - SP",BRL 380.000,290,3,4,2
"Casa com 3 Quartos à Venda, 110m2","Jardim D'icarai, Salto - SP",BRL 730.000,110,3,2,2
"Casa com 5 Quartos à Venda, 317m2","Rua dos Oceanos, 153 - Residencial São Bento, Salto - SP",BRL 165.000,317,5,4,4
"Casa com 3 Quartos à Venda, 163m2","Avenida Brasília, 1 - Buru, Salto - SP",BRL 180.000,163,3,3,2
"Casa com 2 Quartos à Venda, 132m2","Jardim Nair Maria, Salto - SP",BRL 480.000,132,2,3,2
"Casa com 3 Quartos à Venda, 105m2","Rua Anastácia Rigolin, 1 - Jardim Nair Maria, Salto - SP",BRL 645.000,105,3,2,4
"Casa com Quarto à Venda, 35m2","Jardim Arco Iris, Salto - SP",BRL 950.000,35,1,1,2
"Casa com 2 Quartos à Venda, 50m2","Rua João Batista Dalla Vecchia, 230 - CONDOMINIO ZULEIKA JABOUR, Salto - SP",BRL 320.000,50,2,1,2
"Casa com 3 Quartos à Venda, 198m2","Jardim das Nações, Salto - SP",BRL 1.350.000,198,3,3,2
"Casa com 3 Quartos à Venda, 113m2","Estrada Municipal - Residencial Primavera, Salto - SP",BRL 1.150.000,113,3,3,2
"Casa com 3 Quartos à Venda, 124m2","Rua Acácio Rodrigues de Moraes - Jardim Saltense, Salto - SP",BRL 270.000,124,3,2,2
"Casa com 3 Quartos à Venda, 206m2","Rua Santa Ágeda - Residencial São Gabriel, Salto - SP",BRL 1.499.999,206,3,3,2
"Casa com 2 Quartos à Venda, 180m2","Rua Estado de Minas Gerais, 811 - Village Moutonnee, Salto - SP",BRL 300.000,180,2,2,18
"Casa com 2 Quartos à Venda, 100m2","Rua Fortaleza, 10 - Jardim Panorama, Salto - SP",BRL 320.000,100,2,1,2
"Casa com 4 Quartos à Venda, 363m2","Itapecerica, Salto - SP",BRL 650.000,363,4,4,4
"Casa com 3 Quartos à Venda, 395m2","Rua Estado de Minas Gerais, 22 - Loteamento Terras de Sao Pedro e Sao Paulo, Salto - SP",BRL 415.000,395,3,4,3
"Casa com 2 Quartos à Venda, 100m2","Rua África, 275 - Jardim Elizabeth, Salto - SP",BRL 1.590.000,100,2,1,1
"Casa com 2 Quartos à Venda, 80m2","Rua Fortaleza, 342 - Jardim Panorama, Salto - SP",BRL 750.000,80,2,1,2
